"id","reviewer_name","rating","comment","restaurant_id","created_at","updated_at"
16726816,"The Glutton",0,"Just OK. It looked like In-n-Out, unfortunately it just wasn't as good as In-n-Out. Decent burger, but there are many better ones out htere.",16760856,"2018-01-23 07:12:50.90309","2018-01-23 07:12:50.90309"
16726819,"Julian LaVerdiere",0,"Best In and Out Burger in NYC. The only difference between in and out and Blue 9 is that , blue 9 doesn't caramelize the onions or toast the...",16760856,"2018-01-23 07:12:50.88654","2018-01-23 07:12:50.88654"
16726822,"Voldar",0,"Good cheap burger... My 5 year old loved it.. Go to las halles for fries around the corner",16760856,"2018-01-23 07:12:50.860358","2018-01-23 07:12:50.860358"
16726825,"Greg",0,"Cash only. Quick, cheap burger with all the options. Great seasoned fries. Def beats McD's around the corner.",16760856,"2018-01-23 07:12:50.816755","2018-01-23 07:12:50.816755"
16731373,"Saleyacours",0,"I wish restaurants would stop ""profiling"" patrons, especially single women. I walked 30 blocks on a sub freezing day just to taste Cafe Luxe...",16761742,"2018-01-23 07:12:55.818017","2018-01-23 07:12:55.818017"
16731376,"Kd",0,"Breakfast. Be sure to make reservations for breakfast on a Sunday morning or you will have to wait. Skip the bread/butter basket; the entree...",16761742,"2018-01-23 07:12:55.814216","2018-01-23 07:12:55.814216"
16731379,"JT",0,"Lively Sunday Brunch crowd. Hot spot on UWS for Sunday brunch. Got seated immediately for a 1:00PM reservation. Was on a table on an aisle"" ...",16761742,"2018-01-23 07:12:55.810962","2018-01-23 07:12:55.810962"
16758268,"Cookiedessert",0,"Gone there since I was a kid in the early nineties and... Will continue to go there. It has now evolved into a hookah bar, but the scene at ...",16769683,"2018-01-23 07:12:29.280041","2018-01-23 07:12:29.280041"
16758271,"Damien Harris",0,"Best afghani food I've ever had, ok maybe the first time also but damn it was good!",16769683,"2018-01-23 07:12:29.276369","2018-01-23 07:12:29.276369"
16758274,"Bean",0,"Always a good bet. I love this place. I have been going for years. I brought a bunch of French guys that were in town for a meeting, they lo...",16769683,"2018-01-23 07:12:29.271028","2018-01-23 07:12:29.271028"
